epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.7398,1.88114,2.85632,1.76449,0.3036,0.31596,0.197,0.0708,2.27981,3.81415,2.11719,0.000665155,0.000665155,0.000665155
2,113.936,1.78856,1.99281,1.66098,0.45696,0.45658,0.39738,0.15428,1.97282,2.0207,1.73884,0.00131864,0.00131864,0.00131864
3,168.533,1.74728,1.78032,1.64958,0.5542,0.53515,0.4926,0.19491,1.94576,1.94623,1.69028,0.00195892,0.00195892,0.00195892
4,253.66,1.71941,1.71997,1.60341,0.6253,0.56079,0.57496,0.2347,1.96533,1.74305,1.74882,0.0019406,0.0019406,0.0019406
5,313.625,1.65131,1.60614,1.55798,0.74847,0.63854,0.67832,0.28594,1.8131,1.47516,1.55384,0.0019208,0.0019208,0.0019208
6,409.376,1.62046,1.56913,1.53343,0.65669,0.60437,0.65558,0.29431,1.77518,1.52684,1.54731,0.001901,0.001901,0.001901
7,535.403,1.58015,1.546,1.50181,0.65907,0.63524,0.65561,0.29671,1.78673,1.58046,1.58308,0.0018812,0.0018812,0.0018812
8,658.658,1.57861,1.52468,1.49608,0.83408,0.6708,0.75571,0.33773,1.72667,1.42305,1.49837,0.0018614,0.0018614,0.0018614
9,787.345,1.55294,1.4594,1.48528,0.6755,0.61869,0.66204,0.29472,1.79547,1.54867,1.57914,0.0018416,0.0018416,0.0018416
10,898.324,1.51627,1.44166,1.47218,0.55432,0.34739,0.37086,0.15643,2.10952,2.48903,1.85539,0.0018218,0.0018218,0.0018218
11,1014.38,1.53696,1.39721,1.45615,0.71731,0.7157,0.75439,0.36131,1.70304,1.32791,1.48648,0.001802,0.001802,0.001802
12,1136.32,1.48937,1.35251,1.4579,0.73682,0.68775,0.73621,0.34117,1.69734,1.4041,1.51028,0.0017822,0.0017822,0.0017822
13,1263.45,1.47899,1.36143,1.43632,0.79274,0.76562,0.82146,0.38718,1.64155,1.18699,1.45021,0.0017624,0.0017624,0.0017624
14,1401.53,1.45116,1.31984,1.41186,0.82658,0.75021,0.83672,0.43478,1.57967,1.16571,1.39921,0.0017426,0.0017426,0.0017426
15,1533.59,1.44613,1.26521,1.40011,0.75323,0.74938,0.79464,0.35655,1.81123,1.24995,1.54354,0.0017228,0.0017228,0.0017228
16,1659.57,1.44332,1.25951,1.40674,0.75616,0.72622,0.7787,0.38306,1.63112,1.23728,1.42662,0.001703,0.001703,0.001703
17,1784.97,1.42585,1.25199,1.39386,0.77653,0.80645,0.80425,0.40487,1.54379,1.14547,1.37814,0.0016832,0.0016832,0.0016832
18,1909.13,1.41937,1.22996,1.39348,0.781,0.70201,0.76642,0.35567,1.72658,1.33988,1.47298,0.0016634,0.0016634,0.0016634
19,2035.83,1.41683,1.23807,1.38856,0.83523,0.75052,0.83898,0.4485,1.55603,1.1038,1.36577,0.0016436,0.0016436,0.0016436
20,2159.5,1.39886,1.20643,1.36391,0.82836,0.80811,0.85248,0.45637,1.51632,1.05481,1.33421,0.0016238,0.0016238,0.0016238
21,2292.19,1.38679,1.19036,1.36522,0.78985,0.81555,0.83081,0.44645,1.52312,1.04618,1.34401,0.001604,0.001604,0.001604
22,2424.44,1.39296,1.1632,1.37082,0.79852,0.80313,0.85638,0.46186,1.53805,1.05162,1.36645,0.0015842,0.0015842,0.0015842
23,2552.7,1.36155,1.16255,1.34611,0.69001,0.54839,0.62771,0.29897,1.82089,1.65331,1.61597,0.0015644,0.0015644,0.0015644
